Feature,Importance_Mean,Importance_Std
last_fight_td_landed_for_diff,-0.000153800563772107,0.0003082646721403604
rw_avg_sig_attempted_against_diff,-0.0001711072089524442,0.0004796785661792072
b_last_fight_sig_landed_for,-0.00017600531607891618,0.0010122096161442934
a_last_fight_sub_att_against,-0.00018449536843151055,0.00019561518837339856
b_prior_finish_losses,-0.00018808731365759594,0.00020593264123994383
prior_finish_wins_diff,-0.0002096389850141896,0.0011314736308518604
a_last3_avg_loss_flag,-0.00021192476833991797,0.00022217090188217769
last3_avg_fight_seconds_diff,-0.00021437382190316138,0.00178814117243361
a_last3_avg_sig_attempted_for,-0.00021649633499130813,0.001255650819327181
rw_avg_no_contest_flag_diff,-0.00021829230760435822,0.00039475610255290965
last_fight_ctrl_seconds_against_diff,-0.00021894538855455893,0.0005933949811474388
b_avg_sig_attempted_for,-0.00022025155045497514,0.0004985184467699285
last3_avg_finish_loss_flag_diff,-0.00023968070872340725,0.000561436376137203
a_last3_avg_sig_attempted_against,-0.00027298783718359885,0.0006738739683206538
b_last3_avg_finish_win_flag,-0.00028115134906113356,0.0001773701012464338
b_last_fight_ctrl_seconds_for,-0.0002876821585631628,0.0004630165464601826
a_prior_fights,-0.00028833523951333394,0.0002102717829691911
b_striking_offense,-0.0002925802656896496,0.0012840164214618288
a_last5_avg_title_fight_flag,-0.00029339661687735055,0.0003387366009120317
last_fight_win_flag_diff,-0.00029486604901532616,0.00043583319412456007
a_last_fight_sig_attempted_for,-0.0002992743454291421,0.00042093353468292566
a_prior_finish_losses,-0.0003231118001114641,0.0002910693949419927
rw_avg_decision_win_flag_diff,-0.00032441796201188776,0.0004958285132980273
rw_avg_sig_attempted_for_diff,-0.00032572412391228175,0.0004164130509993993
a_last5_avg_kd_against,-0.0003316018524640659,0.00031931851937912176
b_reach,-0.00035739854999700484,0.0010562169097722003
a_avg_sig_attempted_for,-0.0003627048327173569,0.0007721724129020511
last3_avg_sig_landed_for_diff,-0.00039756302843434453,0.0004618170173235921
rw_avg_sig_landed_for_diff,-0.0004005018927102218,0.0002548347684499426
rw_avg_finish_loss_flag_diff,-0.0004364213449712162,0.0009461089191305191
a_last_fight_ctrl_seconds_against,-0.0004821370114852212,0.0011152610486388319
b_avg_sig_landed_for,-0.0004911168745504864,0.0006252569271105172
b_momentum,-0.0004931577525198646,0.0011209897604136654
b_rw_avg_finish_win_flag,-0.0005141379780450113,0.0007342808067214023
b_last3_avg_fight_seconds,-0.0005521799433941821,0.0003304085400088389
a_last_fight_sig_attempted_against,-0.0005543024564823215,0.0006475621601220625
