fight_id,fight_date,a_fighter_name,b_fighter_name,a_prior_fights,b_prior_fights,a_prior_win_rate,b_prior_win_rate,predicted_side,predicted_winner,actual_winner,predicted_correct,chosen_odds,edge,bet_placed,profit_units
15b1c7ddc4415fdd,2021-02-20,Andrei Arlovski,Tom Aspinall,60,4,0.6,1.0,b,Tom Aspinall,Tom Aspinall,1,1.3774,0.274,1,0.3774
15b1c7ddc4415fdd,2021-02-20,Tom Aspinall,Andrei Arlovski,5,61,1.0,0.5902,a,Tom Aspinall,Tom Aspinall,1,3.0,0.6667,1,2.0
82243207b4dfce87,2021-02-20,Charles Rosa,Darrick Minner,16,4,0.5,0.5,a,Charles Rosa,Darrick Minner,0,2.5,0.1,1,-1.0
82243207b4dfce87,2021-02-20,Darrick Minner,Charles Rosa,5,17,0.6,0.4706,a,Darrick Minner,Darrick Minner,1,2.5,0.2,1,1.5
8f7328fe18806fb0,2021-02-20,Aleksei Oleinik,Chris Daukaus,26,4,0.6154,1.0,b,Chris Daukaus,Chris Daukaus,1,1.565,0.361,1,0.565
8f7328fe18806fb0,2021-02-20,Chris Daukaus,Aleksei Oleinik,5,27,1.0,0.5926,a,Chris Daukaus,Chris Daukaus,1,2.4,0.5833,1,1.4
931fd51ab69fb443,2021-02-20,Jared Gordon,Danny Chavez,14,2,0.5714,1.0,b,Danny Chavez,Jared Gordon,0,2.1,0.5238,1,-1.0
931fd51ab69fb443,2021-02-20,Danny Chavez,Jared Gordon,3,15,0.6667,0.6,a,Danny Chavez,Jared Gordon,0,1.7194,0.0851,1,-1.0
990c2378caec68d4,2021-02-20,Eddie Wineland,John Castaneda,28,2,0.4286,0.0,a,Eddie Wineland,John Castaneda,0,1.8,-0.127,0,0.0
990c2378caec68d4,2021-02-20,John Castaneda,Eddie Wineland,3,29,0.3333,0.4138,b,Eddie Wineland,John Castaneda,0,2.0,-0.0862,0,0.0
a4814d682954e8ab,2021-02-20,Ketlen Vieira,Yana Santos,12,10,0.8333,0.6,a,Ketlen Vieira,Yana Santos,0,3.15,0.5159,1,-1.0
a4814d682954e8ab,2021-02-20,Yana Santos,Ketlen Vieira,11,13,0.6364,0.7692,b,Ketlen Vieira,Yana Santos,0,1.3597,0.0338,1,-1.0
b12bc15f384ecc42,2021-02-20,Curtis Blaydes,Derrick Lewis,22,40,0.8182,0.75,a,Curtis Blaydes,Derrick Lewis,0,4.0,0.5682,1,-1.0
b12bc15f384ecc42,2021-02-20,Derrick Lewis,Curtis Blaydes,41,23,0.7561,0.7826,b,Curtis Blaydes,Derrick Lewis,0,1.25,-0.0174,0,0.0
e175c1a0bff30187,2021-02-20,Nate Landwehr,Julian Erosa,4,12,0.5,0.3333,a,Nate Landwehr,Julian Erosa,0,1.8929,-0.0283,0,0.0
e175c1a0bff30187,2021-02-20,Julian Erosa,Nate Landwehr,13,5,0.3846,0.4,b,Nate Landwehr,Julian Erosa,0,1.8929,-0.1283,0,0.0
3a4e2dffcdd1c838,2021-02-27,Nikita Krylov,Magomed Ankalaev,26,12,0.6154,0.8333,b,Magomed Ankalaev,Magomed Ankalaev,1,1.3333,0.0833,1,0.3333
3a4e2dffcdd1c838,2021-02-27,Magomed Ankalaev,Nikita Krylov,13,27,0.8462,0.5926,a,Magomed Ankalaev,Magomed Ankalaev,1,3.5,0.5604,1,2.5
3eac2d47ac252f4b,2021-02-27,Alexander Hernandez,Thiago Moises,12,10,0.6667,0.6,a,Alexander Hernandez,Thiago Moises,0,1.4545,-0.0208,0,0.0
3eac2d47ac252f4b,2021-02-27,Thiago Moises,Alexander Hernandez,11,13,0.6364,0.6154,a,Thiago Moises,Thiago Moises,1,1.4545,-0.0511,0,0.0
4a704dae3091adaf,2021-02-27,Jairzinho Rozenstruik,Ciryl Gane,12,8,0.8333,1.0,b,Ciryl Gane,Ciryl Gane,1,1.4444,0.3077,1,0.4444
